iter	Logloss
0	0.6834370929
1	0.674325589
2	0.6661581049
3	0.6580314635
4	0.6507084406
5	0.6438437011
6	0.6374996438
7	0.6316350148
8	0.6262222201
9	0.6208977131
10	0.6160933383
11	0.6113005666
12	0.6068442082
13	0.6029321806
14	0.5991735108
15	0.5956992062
16	0.5922589573
17	0.5893004114
18	0.5859140949
19	0.5830383183
20	0.5804816401
21	0.5780064019
22	0.5758015
23	0.5732942572
24	0.5711839827
25	0.5692726727
26	0.5672739241
27	0.5652977456
28	0.5634024582
29	0.5615854504
30	0.559965164
31	0.5584677458
32	0.5569137213
33	0.5555543739
34	0.5540978371
35	0.5530535209
36	0.5519701783
37	0.5507914387
38	0.5498852819
39	0.5486849526
40	0.5470448208
41	0.5460167741
42	0.5449063115
43	0.5438134907
44	0.5428197565
45	0.5411734115
46	0.5402105657
47	0.5390199067
48	0.5379899354
49	0.5369843749
50	0.5359219773
51	0.5349371789
52	0.5340001189
53	0.5329276814
54	0.5319947203
55	0.5312012941
56	0.5301149062
57	0.5290529249
58	0.5282838844
59	0.5272998356
60	0.5264953389
61	0.5257004924
62	0.5249423337
63	0.5239175141
64	0.5228223907
65	0.5221618939
66	0.5215133698
67	0.5206439765
68	0.5199055661
69	0.5189495613
70	0.5184112253
71	0.5175102395
72	0.5167786445
73	0.5157340085
74	0.5149021602
75	0.5141556374
76	0.5134917225
77	0.5127972644
78	0.5119678788
79	0.5112105168
80	0.510447586
81	0.5096306926
82	0.5088827107
83	0.5081530808
84	0.5071641003
85	0.5064510612
86	0.505838995
87	0.5051091435
88	0.5043262697
89	0.5035685046
90	0.5031018357
91	0.5024870199
92	0.5019466118
93	0.5010914571
94	0.500419111
95	0.4995967671
96	0.498983811
97	0.4985126808
98	0.497833814
99	0.4970562908
100	0.4963346044
101	0.4953839172
102	0.4948089736
103	0.4942720948
104	0.4934012057
105	0.4924902401
106	0.4918118023
107	0.4911553964
108	0.4904890155
109	0.4900049622
110	0.4893772012
111	0.4884691493
112	0.4877492857
113	0.4870015079
114	0.486263569
115	0.4852333754
116	0.4846413249
117	0.4839000356
118	0.4833026247
119	0.4828073412
120	0.4822236054
121	0.4815905189
122	0.4809234913
123	0.4803658727
124	0.4795263552
125	0.4786845763
126	0.4778948386
127	0.4770686609
128	0.4764090329
129	0.4757351177
130	0.4750849185
131	0.4744632643
132	0.47371858
133	0.4730435913
134	0.4722574958
135	0.471770185
136	0.4710323655
137	0.4700616118
138	0.4692142068
139	0.4685165524
140	0.4678760285
141	0.467447564
142	0.4668198536
143	0.4660000016
144	0.4653454061
145	0.4646166469
146	0.4636737839
147	0.4632252451
148	0.4624564214
149	0.4618314287
150	0.4611354508
151	0.4605459648
152	0.4597365818
153	0.4590336781
154	0.4584612622
155	0.4578380159
156	0.4571097128
157	0.4566663976
158	0.4561788035
159	0.4557859603
160	0.4551711508
161	0.4546042735
162	0.4540656146
163	0.453339728
164	0.4525721534
165	0.4519974616
166	0.4513971092
167	0.4508381786
168	0.4502861869
169	0.4497361835
170	0.4490578893
171	0.4484166458
172	0.4477496921
173	0.4471765945
174	0.4463970558
175	0.4458946851
176	0.4451818109
177	0.4446197454
178	0.444123812
179	0.4434192747
180	0.4426356014
181	0.4420672475
182	0.441642991
183	0.4408665925
184	0.4402003432
185	0.4395404938
186	0.4388808828
187	0.4382939694
188	0.4377129548
189	0.437087817
190	0.4366912056
191	0.4362229974
192	0.4357871011
193	0.4352730108
194	0.4347634205
195	0.4341717753
196	0.4336833725
197	0.432930861
198	0.4321002881
199	0.4312987295
200	0.4304269085
201	0.4297044342
202	0.4292400623
203	0.4287732744
204	0.4280422161
205	0.4275282079
206	0.4266989925
207	0.4261812361
208	0.4253886045
209	0.4247076685
210	0.4238735032
211	0.4231574922
212	0.4223721198
213	0.4219209599
214	0.4212717683
215	0.4207640329
216	0.4202130065
217	0.4197905229
218	0.4193411583
219	0.4187015021
220	0.4179264392
221	0.4174910786
222	0.4168364191
223	0.4160880578
224	0.4155091159
225	0.4151657711
226	0.4146113168
227	0.4141910475
228	0.4137486962
229	0.4131671241
230	0.4127283154
231	0.4121976254
232	0.4116225524
233	0.4108963268
234	0.4103553524
235	0.4097535427
236	0.4093809274
237	0.4088588213
238	0.4083444804
239	0.4076308291
240	0.4070904595
241	0.4063755061
242	0.4057532426
243	0.4052514397
244	0.4045313137
245	0.4039363944
246	0.4033567774
247	0.4027557951
