iter	Passed	Remaining
400	23050	91915
401	23109	91864
402	23165	91799
403	23220	91730
404	23274	91662
405	23329	91594
406	23384	91526
407	23440	91462
408	23496	91401
409	23553	91342
410	23611	91285
411	23668	91226
412	23726	91170
413	23783	91113
414	23841	91059
415	23898	90998
416	23954	90937
417	24011	90877
418	24069	90819
419	24126	90761
420	24185	90708
421	24242	90650
422	24301	90598
423	24358	90540
424	24416	90485
425	24472	90423
426	24531	90369
427	24589	90316
428	24648	90262
429	24706	90207
430	24764	90152
431	24824	90101
432	24882	90047
433	24939	89988
434	24995	89926
435	25053	89870
436	25111	89815
437	25169	89759
438	25227	89704
439	25286	89652
440	25345	89598
441	25403	89545
442	25461	89489
443	25520	89436
444	25579	89383
445	25636	89324
446	25692	89262
447	25748	89200
448	25807	89148
449	25864	89089
450	25922	89034
451	25979	88975
452	26038	88920
453	26094	88860
454	26152	88804
455	26210	88747
456	26268	88691
457	26324	88630
458	26382	88574
459	26441	88520
460	26500	88468
461	26557	88409
462	26614	88349
463	26670	88288
464	26728	88232
465	26784	88170
466	26843	88116
467	26901	88062
468	26958	88002
469	27015	87943
470	27072	87883
471	27130	87830
472	27187	87769
473	27244	87710
474	27302	87653
475	27358	87593
476	27416	87538
477	27475	87483
478	27532	87424
479	27591	87371
480	27648	87312
481	27705	87253
482	27762	87197
483	27821	87143
484	27879	87088
485	27936	87027
486	27993	86970
487	28052	86917
488	28111	86863
489	28169	86806
490	28226	86749
491	28284	86693
492	28342	86637
493	28399	86577
494	28455	86517
495	28512	86458
496	28570	86401
497	28626	86340
498	28684	86283
499	28741	86224
500	28800	86170
501	28857	86112
502	28916	86058
503	28974	86004
504	29033	85949
505	29091	85895
506	29148	85835
507	29205	85777
508	29263	85720
509	29321	85665
510	29379	85607
511	29437	85554
512	29496	85500
513	29555	85446
514	29613	85391
515	29669	85328
516	29726	85269
517	29783	85210
518	29840	85151
519	29899	85097
520	29956	85039
521	30013	84981
522	30071	84923
523	30129	84867
524	30187	84811
525	30244	84753
526	30303	84700
527	30361	84643
528	30418	84584
529	30474	84524
530	30532	84466
531	30590	84410
532	30648	84355
533	30705	84295
534	30762	84236
535	30819	84178
536	30877	84122
537	30934	84063
538	30990	84002
539	31047	83943
540	31103	83881
541	31158	83816
542	31213	83752
543	31270	83694
544	31325	83630
545	31380	83566
546	31437	83506
547	31491	83442
548	31547	83380
549	31603	83317
550	31660	83258
551	31716	83199
552	31772	83137
553	31829	83079
554	31887	83021
555	31944	82963
556	32002	82907
557	32059	82849
558	32117	82793
559	32174	82735
560	32232	82677
561	32287	82615
562	32345	82558
563	32402	82499
564	32459	82442
565	32515	82380
566	32572	82320
567	32630	82265
568	32686	82203
569	32742	82144
570	32799	82085
571	32857	82029
572	32912	81966
573	32968	81905
574	33026	81847
575	33083	81790
576	33140	81730
577	33196	81669
578	33252	81608
579	33309	81551
580	33367	81494
581	33424	81435
582	33480	81376
583	33537	81315
584	33595	81260
585	33650	81198
586	33707	81140
587	33764	81080
588	33822	81023
589	33878	80962
590	33935	80904
591	33991	80844
592	34050	80789
593	34105	80727
594	34161	80666
595	34216	80605
596	34275	80549
597	34333	80494
598	34390	80434
599	34447	80378
600	34503	80317
601	34559	80256
602	34617	80200
603	34675	80143
604	34731	80082
605	34788	80025
606	34846	79968
607	34901	79906
608	34956	79843
609	35015	79788
610	35072	79731
611	35130	79674
612	35188	79618
613	35245	79561
614	35304	79507
615	35363	79453
616	35422	79398
617	35479	79340
618	35538	79286
619	35594	79226
620	35652	79170
621	35708	79110
622	35767	79054
623	35825	78999
624	35882	78940
625	35937	78879
626	35995	78822
627	36052	78764
628	36110	78709
629	36167	78651
630	36224	78591
631	36283	78536
632	36342	78483
633	36399	78425
634	36456	78367
635	36512	78306
636	36568	78247
637	36624	78186
638	36681	78128
639	36738	78068
640	36794	78009
641	36853	77954
642	36911	77898
643	36969	77842
644	37026	77783
645	37083	77725
646	37140	77668
647	37197	77608
648	37254	77550
649	37310	77490
650	37367	77433
651	37424	77373
652	37481	77315
653	37536	77254
654	37592	77194
655	37649	77134
656	37706	77077
657	37761	77015
658	37819	76958
659	37875	76899
660	37932	76839
661	37988	76780
662	38046	76723
663	38103	76665
664	38161	76609
665	38220	76554
666	38277	76497
667	38335	76441
668	38392	76382
669	38450	76326
670	38507	76269
671	38566	76214
672	38622	76154
673	38679	76095
674	38735	76035
675	38790	75975
676	38848	75918
677	38907	75863
678	38964	75805
679	39020	75745
680	39078	75688
681	39134	75629
682	39192	75573
683	39249	75514
684	39308	75459
685	39366	75404
686	39425	75349
687	39481	75290
688	39537	75230
689	39596	75175
690	39655	75121
691	39714	75066
692	39769	75005
693	39826	74948
694	39884	74890
695	39942	74834
696	40000	74777
697	40056	74718
698	40113	74660
699	40170	74602
700	40228	74546
701	40286	74489
702	40345	74435
703	40403	74379
704	40460	74321
705	40518	74265
706	40576	74208
707	40634	74151
708	40692	74096
709	40748	74036
710	40805	73977
711	40863	73922
712	40920	73864
713	40979	73808
714	41037	73753
715	41094	73694
716	41153	73639
717	41209	73580
718	41268	73524
719	41327	73470
720	41386	73415
721	41443	73358
722	41501	73302
723	41559	73246
724	41617	73189
725	41676	73135
726	41734	73078
727	41792	73022
728	41851	72967
729	41907	72907
730	41965	72850
731	42022	72792
732	42078	72733
733	42136	72677
734	42194	72620
735	42251	72563
736	42309	72506
737	42368	72450
738	42424	72391
739	42480	72331
740	42537	72273
741	42595	72217
742	42653	72160
743	42710	72101
744	42766	72042
745	42823	71985
746	42883	71931
747	42940	71873
748	42997	71814
749	43055	71758
750	43114	71703
751	43172	71647
752	43229	71590
753	43288	71534
754	43345	71476
755	43401	71418
756	43458	71358
757	43517	71303
758	43573	71245
759	43632	71189
760	43690	71133
761	43747	71075
762	43804	71017
763	43861	70959
764	43920	70904
765	43978	70848
766	44037	70793
767	44095	70737
768	44152	70678
769	44208	70619
770	44267	70563
771	44326	70509
772	44382	70450
773	44441	70394
774	44500	70338
775	44557	70281
776	44615	70224
777	44674	70169
778	44731	70112
779	44791	70057
780	44850	70003
781	44908	69946
782	44964	69888
783	45021	69829
784	45079	69772
785	45135	69713
786	45191	69654
787	45247	69593
788	45303	69534
789	45360	69476
790	45417	69418
791	45473	69358
792	45530	69300
793	45586	69240
794	45643	69183
795	45701	69125
796	45759	69069
797	45817	69013
798	45875	68956
799	45934	68902
800	45994	68848
801	46051	68789
802	46108	68732
803	46166	68675
804	46223	68617
805	46281	68561
806	46339	68504
807	46397	68447
808	46454	68390
809	46512	68332
810	46571	68277
811	46628	68220
812	46687	68164
813	46744	68107
814	46802	68049
815	46859	67992
816	46917	67935
817	46974	67877
818	47033	67821
819	47091	67765
820	47149	67709
821	47207	67652
822	47264	67594
823	47323	67539
824	47381	67483
825	47440	67427
826	47497	67368
827	47554	67311
828	47611	67253
829	47668	67195
830	47726	67138
831	47783	67080
832	47840	67022
833	47897	66965
834	47955	66907
835	48011	66848
836	48067	66789
837	48125	66732
838	48182	66674
839	48239	66616
840	48297	66560
841	48355	66503
842	48413	66447
843	48472	66391
844	48530	66334
845	48586	66275
846	48642	66215
847	48700	66159
848	48758	66102
849	48816	66046
850	48874	65989
851	48931	65930
852	48987	65871
853	49044	65813
854	49101	65755
855	49158	65697
856	49216	65641
857	49274	65584
858	49333	65529
859	49392	65474
860	49450	65416
861	49508	65360
862	49565	65302
863	49623	65245
864	49680	65188
865	49738	65130
866	49795	65072
867	49853	65015
868	49912	64960
869	49971	64905
870	50030	64849
871	50089	64794
872	50149	64739
873	50207	64683
874	50266	64628
875	50326	64573
876	50383	64516
877	50442	64460
878	50501	64405
879	50559	64348
880	50619	64293
881	50678	64238
882	50737	64182
883	50795	64126
884	50852	64068
885	50911	64012
886	50968	63955
887	51025	63897
888	51084	63841
889	51141	63782
890	51200	63727
891	51257	63669
892	51315	63612
893	51371	63553
894	51428	63495
895	51486	63438
896	51544	63382
897	51601	63324
898	51660	63267
899	51717	63209
900	51775	63152
901	51833	63096
902	51890	63038
903	51948	62981
904	52005	62923
905	52063	62866
906	52119	62808
907	52177	62750
908	52234	62693
909	52292	62636
910	52348	62577
911	52406	62520
912	52465	62464
913	52523	62407
914	52580	62349
915	52639	62293
916	52697	62237
917	52756	62181
918	52814	62124
919	52873	62069
920	52932	62013
921	52989	61955
922	53049	61900
923	53106	61842
924	53164	61786
925	53222	61729
926	53282	61674
927	53339	61616
928	53399	61561
929	53456	61503
930	53516	61448
931	53573	61391
932	53631	61334
933	53691	61279
934	53750	61223
935	53809	61168
936	53867	61110
937	53926	61054
938	53983	60997
939	54043	60942
940	54102	60887
941	54160	60830
942	54218	60773
943	54276	60716
944	54334	60659
945	54391	60601
946	54447	60541
947	54505	60484
948	54562	60427
949	54621	60370
950	54678	60313
951	54737	60257
952	54794	60199
953	54851	60141
954	54910	60084
955	54968	60028
956	55025	59969
957	55083	59913
958	55140	59854
959	55198	59798
960	55255	59740
961	55311	59681
962	55369	59623
963	55426	59565
964	55483	59508
965	55542	59452
966	55600	59395
967	55657	59337
968	55713	59278
969	55772	59221
970	55829	59164
971	55886	59106
972	55944	59048
973	56002	58991
974	56059	58934
975	56116	58876
976	56174	58818
977	56230	58760
978	56289	58704
979	56346	58646
980	56404	58589
981	56461	58531
982	56519	58474
983	56575	58415
984	56634	58359
985	56691	58301
986	56749	58244
987	56807	58187
988	56864	58129
989	56921	58071
990	56979	58014
991	57036	57956
992	57094	57899
993	57150	57840
994	57206	57781
995	57263	57723
996	57321	57665
997	57378	57608
998	57437	57552
999	57494	57494
1000	57551	57436
1001	57609	57379
1002	57666	57321
1003	57725	57265
1004	57782	57207
1005	57838	57149
1006	57896	57092
1007	57954	57034
1008	58012	56977
1009	58069	56919
1010	58127	56862
1011	58183	56803
1012	58239	56744
1013	58297	56687
1014	58355	56630
1015	58412	56572
1016	58469	56514
1017	58526	56456
1018	58582	56397
1019	58638	56338
1020	58697	56282
1021	58755	56226
1022	58813	56169
1023	58871	56111
1024	58928	56054
1025	58986	55996
1026	59044	55939
1027	59100	55880
1028	59157	55823
1029	59213	55764
1030	59272	55707
1031	59329	55650
1032	59387	55593
1033	59446	55536
1034	59503	55479
1035	59562	55423
1036	59621	55366
1037	59678	55309
1038	59736	55252
1039	59793	55194
1040	59852	55137
1041	59910	55080
1042	59968	55023
1043	60025	54965
1044	60082	54907
1045	60140	54851
1046	60198	54793
1047	60256	54737
1048	60314	54679
1049	60371	54622
1050	60429	54565
1051	60487	54507
1052	60543	54449
1053	60602	54392
1054	60658	54333
1055	60714	54275
1056	60773	54218
1057	60832	54162
1058	60891	54106
1059	60950	54050
1060	61007	53992
1061	61064	53934
1062	61121	53876
1063	61178	53818
1064	61235	53760
1065	61292	53702
1066	61348	53644
1067	61405	53586
1068	61464	53529
1069	61521	53472
1070	61579	53415
1071	61637	53358
1072	61693	53299
1073	61752	53243
1074	61811	53186
1075	61869	53129
1076	61925	53070
1077	61982	53012
1078	62040	52955
1079	62098	52899
1080	62155	52841
1081	62213	52784
1082	62270	52725
1083	62329	52669
1084	62385	52610
1085	62444	52554
1086	62503	52498
1087	62561	52441
1088	62618	52383
1089	62675	52325
1090	62733	52268
1091	62793	52212
1092	62852	52156
1093	62910	52099
1094	62969	52043
1095	63027	51986
1096	63083	51927
1097	63142	51870
1098	63200	51814
1099	63257	51756
1100	63316	51699
1101	63374	51642
1102	63431	51584
1103	63487	51526
1104	63546	51469
1105	63604	51412
1106	63661	51355
1107	63719	51297
1108	63777	51240
1109	63836	51183
1110	63893	51126
1111	63951	51069
1112	64008	51011
1113	64064	50952
1114	64123	50896
1115	64182	50840
1116	64240	50782
1117	64299	50726
1118	64357	50668
1119	64415	50611
1120	64473	50554
1121	64529	50496
1122	64587	50438
1123	64646	50382
1124	64703	50325
1125	64761	50267
1126	64819	50210
1127	64877	50153
1128	64933	50094
1129	64991	50037
1130	65048	49979
1131	65107	49923
1132	65163	49864
1133	65221	49807
1134	65279	49750
1135	65338	49694
1136	65396	49637
1137	65455	49580
1138	65512	49522
1139	65569	49464
1140	65626	49406
1141	65684	49349
1142	65741	49292
1143	65800	49235
1144	65858	49177
1145	65914	49119
1146	65970	49061
1147	66028	49003
1148	66085	48945
1149	66143	48888
1150	66200	48831
1151	66257	48772
1152	66314	48715
1153	66372	48657
1154	66431	48601
1155	66488	48543
1156	66547	48487
1157	66604	48428
1158	66662	48372
1159	66719	48314
1160	66776	48255
1161	66832	48197
1162	66891	48141
1163	66948	48083
1164	67005	48025
1165	67064	47968
1166	67122	47911
1167	67180	47854
1168	67237	47796
1169	67295	47739
1170	67354	47682
1171	67411	47625
1172	67469	47568
1173	67528	47511
1174	67586	47454
1175	67644	47397
1176	67701	47338
1177	67759	47282
1178	67818	47225
1179	67875	47167
1180	67933	47110
1181	67990	47052
1182	68047	46994
1183	68105	46937
1184	68164	46881
1185	68222	46824
1186	68281	46767
1187	68340	46710
1188	68397	46652
1189	68453	46594
1190	68510	46536
1191	68568	46479
1192	68626	46422
1193	68682	46363
1194	68741	46307
1195	68798	46248
1196	68856	46192
1197	68916	46135
1198	68976	46079
1199	69034	46022
1200	69093	45966
1201	69150	45908
1202	69208	45851
1203	69264	45792
1204	69323	45735
1205	69380	45678
1206	69438	45621
1207	69497	45564
1208	69554	45506
1209	69611	45448
1210	69669	45391
1211	69729	45335
1212	69786	45277
1213	69845	45221
1214	69902	45163
1215	69961	45106
1216	70018	45048
1217	70075	44991
1218	70135	44935
1219	70191	44876
1220	70250	44819
1221	70307	44762
1222	70364	44703
1223	70420	44645
1224	70479	44589
1225	70536	44531
1226	70593	44473
1227	70652	44416
1228	70711	44360
1229	70769	44302
1230	70826	44245
1231	70885	44188
1232	70944	44131
1233	71003	44074
1234	71060	44017
1235	71119	43960
1236	71178	43903
1237	71236	43846
1238	71296	43790
1239	71354	43733
1240	71413	43676
1241	71470	43618
1242	71527	43561
1243	71587	43504
1244	71646	43448
1245	71705	43391
1246	71764	43334
1247	71823	43278
1248	71881	43221
1249	71939	43163
1250	71996	43105
1251	72053	43047
1252	72111	42990
1253	72168	42932
1254	72226	42875
1255	72284	42818
1256	72342	42760
1257	72400	42703
1258	72456	42645
1259	72514	42587
1260	72572	42530
1261	72629	42472
1262	72687	42415
1263	72745	42358
1264	72803	42301
1265	72862	42244
1266	72922	42187
1267	72978	42129
1268	73036	42072
1269	73094	42014
1270	73152	41957
1271	73214	41902
1272	73283	41851
1273	73342	41795
1274	73402	41738
1275	73460	41681
1276	73518	41624
1277	73577	41567
1278	73634	41509
1279	73692	41452
1280	73752	41395
1281	73812	41339
1282	73871	41282
1283	73928	41225
1284	73983	41165
1285	74036	41106
1286	74091	41046
1287	74145	40987
1288	74201	40928
1289	74257	40870
1290	74312	40811
1291	74369	40753
1292	74424	40694
1293	74479	40635
1294	74536	40577
1295	74592	40519
1296	74648	40461
1297	74705	40403
1298	74761	40344
1299	74819	40287
1300	74875	40228
1301	74931	40170
1302	74987	40112
1303	75046	40055
1304	75102	39996
1305	75160	39939
1306	75218	39882
1307	75274	39824
1308	75330	39766
1309	75388	39708
1310	75446	39651
1311	75503	39593
1312	75561	39536
1313	75619	39478
1314	75677	39421
1315	75735	39364
1316	75794	39307
1317	75852	39249
1318	75909	39191
1319	75966	39134
1320	76022	39076
1321	76079	39018
1322	76137	38960
1323	76196	38904
1324	76252	38845
1325	76311	38788
1326	76368	38731
1327	76427	38674
1328	76485	38616
1329	76544	38559
1330	76601	38502
1331	76658	38444
1332	76716	38386
1333	76774	38329
1334	76831	38271
1335	76889	38214
1336	76948	38157
1337	77005	38099
1338	77063	38042
1339	77120	37984
1340	77178	37927
1341	77235	37869
1342	77295	37813
1343	77354	37756
1344	77411	37698
1345	77470	37641
1346	77528	37584
1347	77587	37527
1348	77645	37470
1349	77703	37412
1350	77762	37355
1351	77820	37298
1352	77879	37241
1353	77938	37184
1354	77997	37128
1355	78057	37071
1356	78114	37013
1357	78171	36956
1358	78231	36899
1359	78288	36841
1360	78347	36784
1361	78405	36727
1362	78462	36669
1363	78520	36611
1364	78576	36553
1365	78633	36495
1366	78689	36437
1367	78746	36380
1368	78802	36321
1369	78859	36264
1370	78917	36206
1371	78973	36148
1372	79029	36090
1373	79087	36032
1374	79141	35973
1375	79196	35914
1376	79253	35856
1377	79310	35799
1378	79366	35740
1379	79423	35682
1380	79480	35625
1381	79536	35567
1382	79592	35508
1383	79648	35450
1384	79707	35393
1385	79766	35336
1386	79825	35279
1387	79883	35222
1388	79942	35165
1389	80001	35108
1390	80059	35051
1391	80116	34993
1392	80174	34935
1393	80230	34878
1394	80289	34821
1395	80349	34764
1396	80408	34707
1397	80466	34650
1398	80525	34592
1399	80583	34535
1400	80643	34479
1401	80701	34421
1402	80761	34365
1403	80819	34307
1404	80878	34250
1405	80937	34194
1406	80997	34137
1407	81055	34079
1408	81114	34023
1409	81173	33966
1410	81232	33909
1411	81291	33852
1412	81348	33794
1413	81405	33736
1414	81464	33679
1415	81521	33621
1416	81578	33564
1417	81635	33506
1418	81693	33448
1419	81753	33392
1420	81810	33334
1421	81866	33276
1422	81922	33218
1423	81980	33160
1424	82038	33103
1425	82096	33045
1426	82155	32988
1427	82212	32931
1428	82269	32873
1429	82328	32816
1430	82386	32758
1431	82445	32701
1432	82502	32643
1433	82561	32587
1434	82619	32529
1435	82676	32471
1436	82734	32414
1437	82792	32357
1438	82849	32299
1439	82907	32241
1440	82965	32184
1441	83021	32126
1442	83078	32068
1443	83135	32010
1444	83191	31952
1445	83248	31894
1446	83306	31837
1447	83362	31779
1448	83419	31721
1449	83477	31663
1450	83533	31605
1451	83590	31547
1452	83646	31489
1453	83703	31431
1454	83761	31374
1455	83820	31317
1456	83878	31260
1457	83937	31203
1458	83996	31146
1459	84053	31088
1460	84110	31030
1461	84166	30972
1462	84223	30914
1463	84281	30857
1464	84340	30800
1465	84398	30742
1466	84454	30684
1467	84511	30626
1468	84568	30568
1469	84625	30511
1470	84684	30454
1471	84742	30396
1472	84801	30339
1473	84858	30281
1474	84915	30224
1475	84972	30166
1476	85029	30108
1477	85086	30051
1478	85145	29993
1479	85205	29936
1480	85263	29879
1481	85321	29822
1482	85379	29764
1483	85438	29707
1484	85496	29650
1485	85555	29593
1486	85613	29535
1487	85669	29477
1488	85726	29419
1489	85784	29362
1490	85841	29304
1491	85901	29247
1492	85958	29190
1493	86016	29132
1494	86075	29075
1495	86133	29018
1496	86190	28960
1497	86246	28902
1498	86302	28844
1499	86361	28787
1500	86419	28729
1501	86475	28671
1502	86532	28613
1503	86587	28555
1504	86644	28497
1505	86701	28439
1506	86758	28382
1507	86815	28324
1508	86872	28266
1509	86930	28209
1510	86989	28151
1511	87047	28094
1512	87105	28037
1513	87164	27980
1514	87222	27922
1515	87281	27865
1516	87341	27808
1517	87398	27751
1518	87456	27693
1519	87514	27636
1520	87572	27578
1521	87630	27521
1522	87689	27464
1523	87745	27406
1524	87805	27349
1525	87864	27292
1526	87922	27234
1527	87981	27177
1528	88039	27119
1529	88097	27062
1530	88155	27005
1531	88213	26947
1532	88270	26890
1533	88329	26832
1534	88388	26775
1535	88446	26718
1536	88502	26660
1537	88559	26602
1538	88616	26544
1539	88674	26487
1540	88732	26429
1541	88790	26372
1542	88848	26314
1543	88907	26257
1544	88966	26200
1545	89026	26143
1546	89085	26086
1547	89143	26028
1548	89201	25971
1549	89261	25914
1550	89318	25856
1551	89378	25799
1552	89438	25743
1553	89497	25685
1554	89554	25628
1555	89612	25570
1556	89669	25512
1557	89727	25455
1558	89786	25398
1559	89844	25340
1560	89903	25283
1561	89962	25226
1562	90020	25168
1563	90077	25111
1564	90135	25053
1565	90194	24996
1566	90251	24938
1567	90309	24881
1568	90368	24823
1569	90427	24766
1570	90487	24709
1571	90545	24652
1572	90602	24594
1573	90661	24537
1574	90718	24479
1575	90776	24422
1576	90834	24364
1577	90892	24307
1578	90950	24249
1579	91008	24192
1580	91066	24134
1581	91125	24077
1582	91182	24019
1583	91241	23962
1584	91300	23905
1585	91358	23847
1586	91415	23789
1587	91472	23732
1588	91529	23674
1589	91587	23616
1590	91646	23559
1591	91704	23502
1592	91762	23444
1593	91818	23386
1594	91876	23329
1595	91934	23271
1596	91992	23214
1597	92050	23156
1598	92108	23099
1599	92166	23041
1600	92224	22984
1601	92282	22926
1602	92341	22869
1603	92400	22812
1604	92458	22754
1605	92515	22696
1606	92573	22639
1607	92631	22581
1608	92690	22524
1609	92747	22466
1610	92804	22408
1611	92862	22351
1612	92919	22293
1613	92977	22236
1614	93035	22178
1615	93092	22120
1616	93151	22063
1617	93207	22005
1618	93264	21947
1619	93322	21890
1620	93380	21832
1621	93436	21774
1622	93495	21717
1623	93554	21660
1624	93611	21602
1625	93670	21545
1626	93728	21487
1627	93785	21430
1628	93841	21372
1629	93900	21314
1630	93956	21256
1631	94013	21199
1632	94072	21141
1633	94129	21084
1634	94185	21026
1635	94243	20968
1636	94302	20911
1637	94360	20853
1638	94419	20796
1639	94477	20738
1640	94534	20681
1641	94592	20623
1642	94650	20566
1643	94708	20508
1644	94765	20451
1645	94824	20393
1646	94880	20335
1647	94938	20278
1648	94996	20220
1649	95054	20163
1650	95111	20105
1651	95168	20047
1652	95226	19990
1653	95284	19932
1654	95343	19875
1655	95401	19817
1656	95457	19759
1657	95515	19702
1658	95572	19644
1659	95631	19587
1660	95687	19529
1661	95746	19471
1662	95804	19414
1663	95862	19356
1664	95919	19299
